start_second,duration,coverage_count,programs,match_url,transcript
616,8,9,"FOXNEWSW_20160928_030000_The_OReilly_Factor, FBC_20160927_130000_Varney__Company, CNBC_20160927_170000_Power_Lunch, FBC_20160927_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20160928_000000_The_OReilly_Factor, FOXNEWSW_20160927_150000_Happening_Now, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_090000_Worldwide_Exchange, CNBC_20160927_100000_Squawk_Box",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/616/end/624,"UNDER MY PLAN I'LL BE REDUCING TAXES TREMENDOUSLY FROM 35% TO 15% FOR COMPANIES,"
624,2,8,"FBC_20160927_130000_Varney__Company, CNBC_20160927_170000_Power_Lunch, FBC_20160927_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20160928_000000_The_OReilly_Factor, FOXNEWSW_20160927_150000_Happening_Now, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_090000_Worldwide_Exchange, CNBC_20160927_100000_Squawk_Box",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/624/end/626,"SMALL AND BIG BUSINESSES."
626,2,5,"CNBC_20160927_170000_Power_Lunch, FOXNEWSW_20160928_000000_The_OReilly_Factor, FOXNEWSW_20160927_150000_Happening_Now, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_100000_Squawk_Box",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/626/end/628,"BUSINESSES. THAT'S GOING TO BE A JOB CREATOR LIKE WE"
628,5,4,"CNBC_20160927_170000_Power_Lunch, CNNW_20160927_023000_Debate_Night_in_America, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_100000_Squawk_Box",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/628/end/633,"JOB CREATOR LIKE WE HAVEN'T SEEN SINCE RONALD REAGAN. IT'S GOING TO BE A BEAUTIFUL THING TO WATCH."
633,4,3,"CNNW_20160927_023000_Debate_Night_in_America, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_100000_Squawk_Box",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/633/end/637,"BEAUTIFUL THING TO WATCH. COMPANIES WILL COME. THEY WILL BUILD. THEY WILL EXPAND. NEW COMPANIES WILL"
637,4,4,"CNNW_20160927_023000_Debate_Night_in_America, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/637/end/641,"NEW COMPANIES WILL START. AND I LOOK VERY VERY MUCH FORWARD TO DOING IT. WE HAVE TO RENEGOTIATE"
641,2,3,"CNNW_20160927_023000_Debate_Night_in_America, CNBC_20160927_100000_Squawk_Box, CNBC_20160927_190000_Closing_Bell",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/641/end/643,"IT. WE HAVE TO RENEGOTIATE"
643,1,1,CNBC_20160927_190000_Closing_Bell,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/643/end/644,"OUR TRADE DEALS AND WE HAVE TO STOP THESE"
657,3,1,CNBC_20160927_190000_Closing_Bell,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/657/end/660,"THE OTHER 95%. AND WE NEED TO HAVE SMART, FAIR TRADE"
660,1,5,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, CNBC_20160927_190000_Closing_Bell",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/660/end/661,"SMART, FAIR TRADE"
