start_second,duration,coverage_count,programs,match_url,transcript
889,3,3,"FOXNEWSW_20161020_080000_Fox_and_Friends_First, CSPAN_20161020_110000_Washington_Journal, FOXNEWSW_20161020_090000_Fox_and_Friends_First",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/889/end/892,"JUSTICES, THIS IS THE BEST WAY TO HELP THE 2nd AMENDMENT, WE"
915,3,1,FOXNEWSW_20161020_210000_The_Five,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/915/end/918,"MR. TRUMP, YOU'RE PRO LIFE. I WOULDN'T ASK YOU SPECIFICALLY, DO YOU WANT THE COURT, INCLUDING"
918,8,2,"CSPAN_20161020_110000_Washington_Journal, FOXNEWSW_20161020_210000_The_Five",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/918/end/926,"DO YOU WANT THE COURT, INCLUDING THE JUSTICES THAT YOU WILL NAME, TO OVERTURN ROE V. WADE WHICH INCLUDES, IN FACT STATES, A WOMAN'S RIGHT TO ABORTION."
926,3,3,"CSPAN_20161020_110000_Washington_Journal, FOXNEWSW_20161020_210000_The_Five, MSNBCW_20161020_130000_MSNBC_Live",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/926/end/929,"WOMAN'S RIGHT TO ABORTION. BECAUSE I AM PRO LIFE I WILL BE"
929,6,2,"CSPAN_20161020_110000_Washington_Journal, MSNBCW_20161020_130000_MSNBC_Live",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/929/end/935,"BECAUSE I AM PRO LIFE I WILL BE APPOINTING PRO LIFE JUDGES I WOULD THINK THAT WILL GO BACK TO THE INDIVIDUAL STATES. >> I'M ASKING YOU SPECIFICALLY"
935,6,1,CSPAN_20161020_110000_Washington_Journal,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/935/end/941,">> I'M ASKING YOU SPECIFICALLY -- >> IF THEY OVERTURN IT WILL GO BACK TO THE STATES. >> WHAT I'M ASKING YOU, DO YOU WANT TO SEE THE COURT OVERTURN,"
941,1,2,"CSPAN_20161020_110000_Washington_Journal, FOXNEWSW_20161020_210000_The_Five",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/941/end/942,"WANT TO SEE THE COURT OVERTURN,"
942,2,4,"CNNW_20161020_170000_Wolf, CSPAN_20161020_110000_Washington_Journal, CNNW_20161020_090000_New_Day, FOXNEWSW_20161020_210000_The_Five",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/942/end/944,"YOU JUST SAID YOU WANT TO SEE"
944,8,5,"CNNW_20161020_170000_Wolf, CSPAN_20161020_110000_Washington_Journal, CNNW_20161020_090000_New_Day, FOXNEWSW_20161020_210000_The_Five, CNNW_20161020_230000_Erin_Burnett_OutFront",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/944/end/952,"THE COURT PROTECT THE 2nd AMENDMENT, DO YOU WANT TO SEE THE COURT OVERTURN -- >> IF WE PUT ANOTHER TWO OR PERHAPS THREE JUSTICES ON THAT'S REALLY WHAT IS GOING -- THAT'S"
952,2,4,"CNNW_20161020_170000_Wolf, CSPAN_20161020_110000_Washington_Journal, FOXNEWSW_20161020_210000_The_Five, CNNW_20161020_230000_Erin_Burnett_OutFront",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/952/end/954,"REALLY WHAT IS GOING -- THAT'S"
