start_second,duration,coverage_count,programs,match_url,transcript
1174,2,22,"FBC_20161010_090000_FBN_AM, FBC_20161010_090000_FBN_AM, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20161010_010000_Presidential_Candidates_Debate, FOXNEWSW_20161010_060000_Presidential_Candidates_Debate, CNNW_20161010_063000_Debate_Night_in_America, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, MSNBCW_20161010_050000_MSNBC_Live_Post_Debate, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_110000_New_Day, CNNW_20161010_100000_New_Day, CNNW_20161010_130000_CNN_Newsroom_With_Carol_Costello, CNNW_20161010_120000_New_Day, FOXNEWSW_20161010_210000_The_Five, CNBC_20161010_023000_American_Greed, MSNBCW_20161010_170000_MSNBC_Live, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1174/end/1176,"I AM REMINDED OF WHAT MY FRIEND,"
1176,1,19,"FBC_20161010_090000_FBN_AM, FBC_20161010_090000_FBN_AM, FBC_20161010_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20161010_010000_Presidential_Candidates_Debate, FOXNEWSW_20161010_060000_Presidential_Candidates_Debate, CNNW_20161010_063000_Debate_Night_in_America, MSNBCW_20161010_150000_MSNBC_Live, MSNBCW_20161010_130000_MSNBC_Live, CNNW_20161010_140000_CNN_Newsroom_With_Carol_Costello, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_160000_Outnumbered, CNNW_20161010_110000_New_Day, CNNW_20161010_100000_New_Day, CNNW_20161010_130000_CNN_Newsroom_With_Carol_Costello, CNNW_20161010_120000_New_Day, FOXNEWSW_20161010_210000_The_Five, CNBC_20161010_023000_American_Greed, BLOOMBERG_20161010_210000_With_All_Due_Respect, MSNBCW_20161010_220000_With_All_Due_Respect",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1176/end/1177,
1177,8,1,CNBC_20161010_023000_American_Greed,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1177/end/1185,"MICHELLE OBAMA ADVISED US ALL. WHEN THEY GO LOW, YOU GO HIGH."
1185,1,2,"MSNBCW_20161010_090000_First_Look, CNBC_20161010_023000_American_Greed",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1185/end/1186,"[ Applause ] AND, LOOK, IF THIS WERE JUST"
1186,14,4,"MSNBCW_20161010_090000_First_Look, CNBC_20161010_130000_Squawk_on_the_Street, CNBC_20161010_100000_Squawk_Box, CNBC_20161010_023000_American_Greed",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1186/end/1200,"[ Applause ] AND, LOOK, IF THIS WERE JUST ABOUT ONE VIDEO, MAYBE WHAT HE'S SAYING TONIGHT WOULD BE UNDERSTANDABLE. BUT EVERYONE CAN DRAW THEIR OWN"
1200,3,2,"CNBC_20161010_130000_Squawk_on_the_Street, CNBC_20161010_023000_American_Greed",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1200/end/1203,"CONCLUSIONS AT THIS POINT ABOUT WHETHER OR NOT THE MAN IN THE"
1203,1,3,"CNBC_20161010_130000_Squawk_on_the_Street, FOXNEWSW_20161011_000000_The_OReilly_Factor, CNBC_20161010_023000_American_Greed",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1203/end/1204,"VIDEO OR THE MAN ON THE STAGE"
1204,3,1,FOXNEWSW_20161011_000000_The_OReilly_Factor,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1204/end/1207,"VIDEO OR THE MAN ON THE STAGE RESPECTS WOMEN. BUT HE NEVER APOLOGIZED FOR"
1207,11,2,"FOXNEWSW_20161011_000000_The_OReilly_Factor, FOXNEWSW_20161011_030000_The_OReilly_Factor",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1207/end/1218,"RESPECTS WOMEN. BUT HE NEVER APOLOGIZED FOR ANYTHING TO ANYONE. HE NEVER APOLOGIZED TO MR. AND MRS. KAHN, THE GOLD STAR FAMILY WHOSE SON, CAPTAIN KAHN DIED IN"
1218,5,1,FOXNEWSW_20161011_030000_The_OReilly_Factor,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1218/end/1223,"WHOSE SON, CAPTAIN KAHN DIED IN THE LIKE OF DUTY IN IRAQ."
1248,1,1,FOXNEWSW_20161011_030000_The_OReilly_Factor,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1248/end/1249,"MOCKED ON NATIONAL TELEVISION"
1249,8,2,"FOXNEWSW_20161011_000000_The_OReilly_Factor, FOXNEWSW_20161011_030000_The_OReilly_Factor",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1249/end/1257,"MOCKED ON NATIONAL TELEVISION AND OUR CHILDREN WERE WATCHING. AND HE NEVER 'POM GUYED FOR THE PRAYSIST LIE THAT PRESIDENT"
1257,1,5,"FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_150000_Happening_Now, FBC_20161011_000000_Kennedy, FOXNEWSW_20161011_000000_The_OReilly_Factor, FOXNEWSW_20161011_030000_The_OReilly_Factor",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1257/end/1258,"PRAYSIST LIE THAT PRESIDENT OBAMA WAS NOT BORN IN THE UNITED"
1258,1,4,"FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_150000_Happening_Now, FBC_20161011_000000_Kennedy, FOXNEWSW_20161011_030000_The_OReilly_Factor",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1258/end/1259,"OBAMA WAS NOT BORN IN THE UNITED"
1259,1,7,"FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_080000_Fox_and_Friends_First, FBC_20161010_130000_Varney__Company, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FOXNEWSW_20161010_150000_Happening_Now, FBC_20161011_000000_Kennedy",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1259/end/1260,
1260,3,8,"FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161010_080000_Fox_and_Friends_First, FOXNEWSW_20161010_080000_Fox_and_Friends_First, FBC_20161010_130000_Varney__Company, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FOXNEWSW_20161010_150000_Happening_Now, FBC_20161011_000000_Kennedy",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1260/end/1263,"STATES OF AMERICA HE OWES THE PRESIDENT AN APOLOGY."
1263,1,7,"FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_080000_Fox_and_Friends_First, FOXNEWSW_20161010_080000_Fox_and_Friends_First, FBC_20161010_130000_Varney__Company, FOXNEWSW_20161010_090000_Fox_and_Friends_First, FOXNEWSW_20161010_150000_Happening_Now, FBC_20161011_000000_Kennedy",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1263/end/1264,"PRESIDENT AN APOLOGY. HE OWES OUR COUNTRY AN APOLOGY."
1264,1,4,"FOXNEWSW_20161010_100000_FOX__Friends, FOXNEWSW_20161010_080000_Fox_and_Friends_First, FOXNEWSW_20161010_080000_Fox_and_Friends_First, FBC_20161011_000000_Kennedy",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1264/end/1265,"HE OWES OUR COUNTRY AN APOLOGY."
